buying,maint,doors,person,boot,high,class
expensive,high,Two,MoreThanTwo,large,low,no
cheap,low,MoreThanTwo,MoreThanTwo,small,low,no
expensive,low,MoreThanTwo,Two,small,low,yes
expensive,low,MoreThanTwo,MoreThanTwo,large,low,no
cheap,high,MoreThanTwo,MoreThanTwo,large,high,yes
expensive,low,Two,MoreThanTwo,small,low,yes
cheap,low,MoreThanTwo,Two,large,low,no
cheap,high,MoreThanTwo,MoreThanTwo,small,high,no
expensive,low,Two,Two,large,low,no
cheap,low,Two,MoreThanTwo,small,high,yes
expensive,high,MoreThanTwo,Two,large,low,no
cheap,low,Two,MoreThanTwo,large,low,yes
expensive,low,MoreThanTwo,Two,large,high,yes
cheap,high,Two,MoreThanTwo,small,low,no
expensive,low,MoreThanTwo,MoreThanTwo,large,low,yes
cheap,low,Two,Two,small,low,no
expensive,high,MoreThanTwo,MoreThanTwo,small,high,no
expensive,low,MoreThanTwo,Two,large,low,yes
cheap,low,Two,MoreThanTwo,small,high,no
expensive,high,MoreThanTwo,Two,large,low,yes
cheap,low,Two,Two,large,low,no
expensive,high,MoreThanTwo,MoreThanTwo,small,high,yes
expensive,high,Two,Two,small,low,yes
cheap,low,Two,MoreThanTwo,large,low,no
expensive,high,MoreThanTwo,Two,large,low,yes
